,Linear Regression Baseline,NN,RandomForest,SVR,Voting Regressor EL with Tunning,Voting Regressor EL,XGBR
batlik,0.4282,0.1564,0.0845,0.58,0.0782,0.1691,0.0827
dconvert,0.1308,0.3442,0.08,0.9983,0.075,0.0867,0.0733
h2,1220.9875,539.375,443.9675,2485.3812,431.9262,575.2775,451.35
jump3r,0.86,0.6567,0.6417,1.0167,0.6483,0.665,0.6333
kanzi,40.4678,10.7322,1.5956,33.61,10.4722,13.5722,1.6889
lrzip,15.1762,21.6354,17.3,18.6638,15.7777,16.9823,22.0877
x264,2.9933,1.1044,1.1611,2.4522,1.2944,1.6156,1.1256
xz,23.5462,2.4931,2.5377,20.7885,4.6846,8.6723,2.7462
z3,41.3358,4.9742,0.3125,39.3875,5.1433,13.7858,0.3225
