,Linear Regression Baseline,NN,RandomForest,SVR,Voting Regressor EL with Tunning,Voting Regressor EL,XGBR
batlik,0.5727,0.2118,0.1255,1.0518,0.1145,0.2264,0.1218
dconvert,0.1867,0.4433,0.125,1.2383,0.1125,0.1283,0.1125
h2,1426.4738,758.0562,593.21,3573.5475,575.3325,728.5938,605.7938
jump3r,1.1367,0.9283,0.9517,1.415,0.9117,0.9233,0.9133
kanzi,59.4411,20.6122,4.7278,81.1044,15.0267,20.3278,4.2278
lrzip,22.0231,30.8969,24.3015,28.2338,22.1577,24.3477,30.7608
x264,3.9022,2.3656,2.6244,5.1344,2.5167,2.66,2.4533
xz,30.3177,7.09,7.51,44.2254,9.0085,12.6708,7.7754
z3,48.1642,6.5658,0.7217,81.3658,5.7483,16.0808,0.7083
